County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
Suffolk,751269,Store,JAC,ALISAN 2 CORP,MOBIL GAS,153,MIDDLE COUNTRY RD,,,RIDGE,NY,11961,0,POINT (-72.846267 40.908721)
Westchester,751265,Store,JAC,CHESTNUT MARTS INC,CHESTNUT MARKETS,87,ROUTE 6,,,BALDWIN PLACE,NY,10505,0,POINT (-73.758264 41.344493)
Westchester,751264,Store,JAC,CHESTNUT MARTS INC,CHESTNUT MARKETS,680,MAIN ST,,,MOUNT KISCO,NY,10549,0,
Tompkins,751263,Store,JAC,MIRABITO HOLDINGS INC,MIRABITO  #57,1321,DRYDEN RD,,,ITHACA,NY,14850,0,POINT (-76.408462 42.468728)
Nassau,751262,Store,JAC,SUSHILUX CORP,SUSHI AT HOLIDAY FARMS,8285,JERICHO TPKE,,,WOODBURY,NY,11797,0,POINT (-73.466344 40.816358)
Onondaga,751258,Store,JAC,ALHARIRI HASAN,SHAM DELI & GROCERY,1215,LODI ST,,,SYRACUSE,NY,13203,0,POINT (-76.145176 43.058911)
Kings,751256,Store,A,18 AVE ORGANIC 1 CORP,18 AVE ORGANIC 1,6902,18TH AVE,,,BROOKLYN,NY,11204,0,POINT (-73.992615 40.616723)
Queens,751255,Store,JAC,48ST GROCERY CORP,48ST GROCERY,48-16,BROADWAY,,,ASTORIA,NY,11103,0,POINT (-73.912184 40.755772)
Queens,751254,Store,A,MINHUI NY INC,MINHUI NY,42-14,MAIN ST,,,FLUSHING,NY,11355,1200,POINT (-73.828114 40.754976)
Kings,751253,Store,A,KING CENTRAL CONVENIENCE CORP,KING CENTRAL CONVENIENC,427,CENTRAL AVENUE,,,BROOKLYN,NY,11221,0,POINT (-73.915361 40.692512)
Madison,751251,Store,JAC,STEWARTS SHOPS CORP,STEWARTS SHOP #475,2463,ROUTE 12B,,,HAMILTON,NY,13346,0,POINT (-75.555798 42.843808)
Niagara,751244,Store,JAC,PROFUEL NUTRITION LLC,PROFUEL NUTRITION,2383,NIAGARA FALLS BLVD STE 2,,,NIAGARA FALLS,NY,14304,0,POINT (-78.918374 43.096952)
Kings,751243,Store,JAC,WILD SUSHI CORP,WILD SUSHI,72,WYCKOFF AVE,,,BROOKLYN,NY,11237,0,POINT (-73.920139 40.704871)
Bronx,751242,Store,JAC,IGNITE USA INC,PELHAM SUPERMARKET,706,LYDIG AVE,,,BRONX,NY,10462,0,POINT (-73.86733 40.854494)
Suffolk,751240,Store,JAC,SNS OF LI CORP,FOREST PORK STORE,380,E JERICHO TPKE,,,HUNTINGTON STATION,NY,11746,3000,POINT (-73.396821 40.83048)
Westchester,751239,Store,JACDK,439 SONS BEVERAGE CORP,SHANNON BEVERAGES,437,NORTH AVE,,,NEW ROCHELLE,NY,10801,5000,POINT (-73.785471 40.917111)
Nassau,751237,Store,JAD,JF CLARKE CORP,JF CLARKE FRZN SFD,167,FRANKLIN AVE,,,FRANKLIN SQUARE,NY,11010,1200,POINT (-73.678082 40.703404)
Bronx,751235,Store,A,HOBART SMOKE SHOP & GROCERY INC,HOBART SMOKE SHOP & GRO,1823A,HOBART AVENUE,,,BRONX,NY,10461,0,POINT (-73.831428 40.847897)
Orange,751234,Store,JABC,PEARL RIVER PASTRY LLC,PEARL RIVER PASTRY,54,TURNER DR,,,MIDDLETOWN,NY,10940,0,POINT (-74.37998 41.467081)
Wyoming,751233,Store,JAC,DOMES INC,DOMES COUNTRY STORE,560,MAIN STREET,,,ARCADE,NY,14009,0,POINT (-78.437515 42.533603)
Westchester,751231,Store,JAC,TEPEYAC DELI AND GROCERY CORPORAT,TEPEYAC DELI AND GROCER,202,ELM STREET,,,YONKERS,NY,10701,0,POINT (-73.887814 40.932698)
Kings,751229,Store,JAC,SISTER SEAFOOD CORP,OMEGA SEA WORLD,93,ROCKAWAY PARKWAY,,,BROOKLYN,NY,11212,0,POINT (-73.923441 40.664102)
Ulster,751228,Store,JABC,HUDSON VALLEY BAKERY INC,HUDSON VALLEY BAKERY,55,WASHINGTON AVE,,,KINGSTON,NY,12401,0,POINT (-74.015949 41.925407)
Richmond,751227,Store,JAC,NEW SANTINOS GOURMET DELI CORP,NEW SANTINOS GOURMET DE,409,FOREST AVE,,,STATEN ISLAND,NY,10301,0,POINT (-74.103015 40.630882)
Bronx,751226,Store,JAC,Y&J LARA GROCERY CORP,Y&J LARA GROCERY,3945,CARPENTER AVE,,,BRONX,NY,10466,0,POINT (-73.863784 40.88791)
Onondaga,751225,Store,JAC,LN HERRMANN INC,BIG M SENECA KNOLLS,7252,STATE FAIR BLVD,,,SYRACUSE,NY,13209,0,POINT (-76.286756 43.121392)
Kings,751223,Store,JAC,ZAHRA HALAL MEAT I CORP,ZAHRA HALAL MEAT,6926,5TH  AVE,,,BROOKLYN,NY,11209,0,POINT (-74.021251 40.632887)
Suffolk,751219,Store,JAC,MANOORIE FOOD INC,7 ELEVEN STORE #38103A,2320,UNION BLVD,,,BAY SHORE,NY,11706,0,POINT (-73.227593 40.730916)
Suffolk,751218,Store,JAC,FRESHFACTOR INC,FRESH FACTOR,4603,MIDDLE COUNTRY RD,,,SHIRLEY,NY,11967,0,POINT (-72.786543 40.928126)
Suffolk,751217,Store,JAC,MALCZEWSKI AGNIESZKA,AGNES'S PIEROGIES,4603,MIDDLE COUNTRY RD,,,CALVERTON,NY,11933,0,POINT (-72.786543 40.928126)
New York,751216,Store,JAC,HAMS CATERING INC,HAMS CATERING,1446,2ND AVE,,,NEW YORK,NY,10075,20,POINT (-73.956272 40.771653)
New York,751215,Store,JAC,JINGRI INC,JINGRI,1507,YORK AVE,,,NEW YORK,NY,10075,20,POINT (-73.950044 40.771923)
Kings,751213,Store,A,URBAN MARKET CORP,URBAN MARKET,1212,AVENUE M,,,BROOKLYN,NY,11230,1500,POINT (-73.962115 40.617771)
Kings,751212,Store,JAC,SHLOMS HEIMISH CORPORATION,SHLOMIES BAKE SHOP,744,BEDFORD AVENUE,,,BROOKLYN,NY,11205,0,POINT (-73.956925 40.69843)
Bronx,751211,Store,JAC,JORDAN DELICATE DELI CORP,JORDAN DELICATE DELI,211,ST ANNS AVENUE,,,BRONX,NY,10454,1000,
Suffolk,751210,Store,JAC,DEKKADE LLC,DEKKADE,4603,MIDDLE COUNTRY RD,,,CALVERTON,NY,11933,0,POINT (-72.786543 40.928126)
Kings,751209,Store,JAC,ONE MART NOSTRAND AVE CORP,ONE MART NOSTRAND AVE,3600,NOSTRAND AVE,,,BROOKLYN,NY,11229,0,POINT (-73.941071 40.596164)
Bronx,751208,Store,JAC,BUENA VISTA DELI CORP,BUENA VISTA DELI,650,PROSPECT AVE,,,BRONX,NY,10455,0,POINT (-73.903405 40.815271)
Bronx,751207,Store,JAC,MI CHAPINCITA QUETZAL CORP,MI CHAPINCITA QUETZAL,1093,SOUTHERN BLVD,,,BRONX,NY,10459,0,POINT (-73.892004 40.825872)
New York,751206,Store,JAC,ALBARONCIO INC,VIA DELLA SCROFA,60,E 4TH STREET,,,NEW YORK,NY,10004,0,POINT (-73.990639 40.726701)
Suffolk,751205,Store,JAC,S&S FUEL INC,S&S FUEL,519,MIDDLE COUNTRY RD,,,CORAM,NY,11727,0,POINT (-73.013031 40.86867)
Warren,751204,Store,JAC,VALLEY MARKET CORP,POTTERSVILLE MINI MARKE,38,VALLEY FARM ROAD,,,POTTERSVILLE,NY,12860,0,POINT (-73.82011 43.724429)
Kings,751203,Store,JAC,KHALED DELI GROCERY CORP,KHALED DELI GROCERY,1502,NEPTUNE AVE,,,BROOKLYN,NY,11224,0,POINT (-73.98327 40.579147)
New York,751202,Store,JAC,CITI DELI CORP,CITI DELI,606,9TH AVE,,,NEW YORK,NY,10036,0,POINT (-73.992 40.759288)
Richmond,751201,Store,JAC,GRAND CENTRAL SI LLC,MATAMOROS DELI MARKET,533,PORT RICHMOND AVE,,,STATEN ISLAND,NY,10302,0,POINT (-74.140327 40.629882)
Kings,751200,Store,JAC,MANNYS DELI & GRILL CORP,MANNYS DELI & GRILL,92,MANHATTAN AVE,,,BROOKLYN,NY,11206,0,POINT (-73.944603 40.705379)
New York,751199,Store,JAC,1185 CAFE LLC,SIMON SIPS,1185,6TH AVE,,,NEW YORK,NY,10036,0,POINT (-73.981978 40.757773)
Westchester,751197,Store,JAC,MORALES RECINOS NALDO DE JESUS,MORALES RECINOS NALDO D,154,MAMARONECK AVE,,,MAMARONECK,NY,10543,0,POINT (-73.733416 40.949814)
Dutchess,751194,Store,JAC,VIOLET FOOD MART INC,VIOLET FOOD MART,874,VIOLET AVE,,,HYDE PARK,NY,12538,0,POINT (-73.90958 41.772375)
Kings,751193,Store,JAC,SAM NATURAL DELI CORP,SAM NATURAL DELI,281,NOSTRAN AVE,,,BROOKLYN,NY,11216,0,POINT (-73.95129 40.688979)
Oswego,751192,Store,JAC,MAHONEY SHAWN M,THE SAUSAGE SHACK,6,COUNTY ROUTE 24,,,OSWEGO,NY,13126,0,POINT (-76.473741 43.398268)
Bronx,751191,Store,JAC,SIDEBAR CAFE CORP 1,SIDEBAR CAFE,191,E 161ST STREET,,,BRONX,NY,10451,0,POINT (-73.921306 40.826531)
Queens,751190,Store,JAC,VANSH FOODMART INC,BAGH DELI GROCERY,118-22,ATLANTIC AVE,,,SOUTH RICHMOND HIL,NY,11419,0,POINT (-73.828245 40.693914)
New York,751189,Store,JAC,AL AMIN GROCERY STORE LLC,AL-AMIN GROCERY STORE,2407,2ND AVE,,,NEW YORK,NY,10035,0,POINT (-73.9343 40.801765)
Nassau,751188,Store,JAC,VIR FOODMART INC,CARLE PLACE GOURMET & P,514,WESTBURY AVE,,,CARLE PLACE,NY,11514,0,POINT (-73.605246 40.751095)
New York,751184,Store,A,GETIR INC,GETIR,120,RIVERSIDE BLVD (WEST 66TH ST),,,NEW YORK,NY,10069,0,
Kings,751183,Store,A,301 CONVENIENCE CORP,301 CONVENIENCE,301,HALSEY ST,,,BROOKLYN,NY,11216,1200,POINT (-73.940778 40.682848)
Erie,751182,Store,JAC,EASTERN PETROLEUM CORP,EASTERN PETROLEUM,4535,BROADWAY,,,DEPEW,NY,14043,2000,POINT (-78.707013 42.90156)
Kings,751181,Store,JAC,CONTINENTAL GLATT MEAT CORP,CONTINENTAL MEAT,744,BEDFORD AVE,,,BROOKLYN,NY,11205,800,POINT (-73.956925 40.69843)
Kings,751180,Store,JAC,DELI & MORE INC,CRISPIES DELI,744,BEDFORD AVE,,,BROOKLYN,NY,11205,0,POINT (-73.956925 40.69843)
Kings,751179,Store,JAC,OCEAN FRESH FISH INC,OCEAN FRESH,744,BEDFORD AVE,,,BROOKLYN,NY,11205,500,POINT (-73.956925 40.69843)
Kings,751178,Store,JAC,HATZLACHA SUPERMARKET INC,HATZLACHA SUPERMARKET,744,BEDFORD AVE,,,BROOKLYN,NY,11205,10000,POINT (-73.956925 40.69843)
Queens,751177,Store,JAC,MARGARITA MEXICAN DELI  CORP,MARGARITA MEXICAN DELI,87-17,ROOSEVELT AVE,,,JACKSON HEIGHTS,NY,11372,900,POINT (-73.879118 40.74814)
Suffolk,751176,Store,JAC,HANDSOME SEAFOOD CORP,HANDSOME SEAFOOD,126,CLARKE ST,,,BRENTWOOD,NY,11717,500,POINT (-73.249588 40.799066)
Franklin,751174,Store,A,FAMILY DOLLAR STR OF NEW YORK INC,FAMILY DOLLAR 4423,4,PLEASANT AVE,,,TUPPER LAKE,NY,12986,0,POINT (-74.4629 44.226154)
Monroe,751173,Store,JAC,SMITH MARAH,GO FERMENT YOURSELF,250,EAST MAIN STREET,,,ROCHESTER,NY,14604,0,POINT (-77.60529 43.157402)
Kings,751172,Store,JAC,D&J GROCERY SPANISH FOOD INC,D&J GROCERY SPANISH FOO,927,GRAND STREET,,,BROOKLYN,NY,11211,0,POINT (-73.937104 40.712821)
New York,751170,Store,JAC,2421 GARY UPTOWN WHOLE FOODS LLC,UPTOWN WHOLE FOODS,2421,BROADWAY,,,NEW YORK,NY,10024,2300,POINT (-73.974973 40.790464)
New York,751162,Store,A,FRIDGE NO MORE INC,FRIDGE NO MORE,2101,FREDERICK DOUGLASS BLVD,,,NEW YORK,NY,10026,0,POINT (-73.956585 40.802757)
Kings,751161,Store,JAC,GOURMET DELI & GRILL ZONE INC,GOURMET DELI & GRILL ZO,629,CHURCH AVE,,,BROOKLYN,NY,11218,0,POINT (-73.973165 40.645422)
Queens,751157,Store,A,FRIDGE NO MORE INC,FRIDGE NO MORE,23-81,21ST ST,,,ASTORIA,NY,11105,0,POINT (-73.921003 40.777043)
New York,751155,Store,A,FRIDGE NO MORE INC,FRIDGE NO MORE,1198,THIRD AVE,,,NEW YORK,NY,10021,0,POINT (-73.961586 40.768371)
Kings,751153,Store,A,FRIDGE NO MORE INC,FRIDGE NO MORE,1084,ROGERS AVE,,,BROOKLYN,NY,11226,0,POINT (-73.951719 40.64362)
Kings,751151,Store,A,FRIDGE NO MORE INC,FRIDGE NO MORE,3344,NOSTRAND AVE,,,BROOKLYN,NY,11229,0,POINT (-73.942264 40.602404)
New York,751150,Store,A,FRIDGE NO MORE INC,FRIDGE NO MORE,2,SOUTH END AVE,,,NEW YORK,NY,10280,0,POINT (-74.017647 40.707971)
Queens,751149,Store,A,FRIDGE NO MORE INC,FRIDGE NO MORE,6298,WOODHAVEN BLVD,,,MIDDLE VILLAGE,NY,11379,0,
Kings,751148,Store,A,FRIDGE NO MORE INC,FRIDGE NO MORE,885,GRAND ST,,,BROOKLYN,NY,11211,0,POINT (-73.938651 40.712445)
Kings,751147,Store,A,FRIDGE NO MORE INC,FRIDGE NO MORE,1941,CONEY ISLAND AVE,,,BROOKLYN,NY,11223,0,POINT (-73.962296 40.60983)
Kings,751146,Store,A,FRIDGE NO MORE INC,FRIDGE NO MORE,4924,4TH AVE,,,BROOKLYN,NY,11220,0,POINT (-74.012532 40.646616)
Queens,751145,Store,JAC,LUS LICENSING LLC,LIDL-8015,19-30,37TH STREET,,,ASTORIA,NY,11105,0,POINT (-73.901647 40.778649)
Dutchess,751144,Store,A,ALL THAT SHE WANTS LLC,WESTERLAND,41,MAIN ST,,,MILLERTON,NY,12546,2000,POINT (-73.510169 41.953819)
Richmond,751141,Store,JAC,ARIANA FOOD MARKET INC,ARIANA FOOD MARKET,900,HYLAN BLVD,,,STATEN ISLAND,NY,10305,0,POINT (-74.072569 40.598347)
Monroe,751140,Store,JAC,JOES KWIK MARTS LLC,JOES KWIK MARTS #469,1877,W RIDGE RD,,,ROCHESTER,NY,14615,0,POINT (-77.678674 43.207043)
Nassau,751139,Store,A,CHU'S MEAT MARKET LLC,CHU'S MEAT MARKET,339,CENTRAL AVE,,,LAWRENCE,NY,11559,0,POINT (-73.72945 40.617803)
Kings,751136,Store,A,SHANDAR PHARMACY INC,ANAYA PHARMACY,3064,SHORE PARKWAY STORE #4,,,BROOKLYN,NY,11235,0,POINT (-73.96163 40.584296)
Greene,751134,Store,A,NOTCH MARKET INC,NOTCH MARKET,7261,ROUTE 23A,,,HUNTER,NY,12442,0,
Westchester,751132,Store,JAC,ESPERANZA DELI II CORP,ESPERANZA DELI II,139,W SANDFORD BLVD,,,MOUNT VERNON,NY,10550,0,POINT (-73.838414 40.898157)
New York,751127,Store,JAC,LADERACH SEVENTH AVENUE LLC,LADERACH SEVENTH AVE,745,SEVENTH AVENUE  UNIT B,,,NEW YORK,NY,10017,0,POINT (-73.983484 40.760777)
Erie,751126,Store,JAC,ALLOUSH MINI MART INC,ALLOUSH MINI MART,1201,WALDEN AVE,,,BUFFALO,NY,14211,0,POINT (-78.791642 42.907274)
Bronx,751125,Store,JAC,TINOS SEAFOOD LTD,TINOS SEAFOOD,540,WEST 235TH STREET,,,BRONX,NY,10463,0,POINT (-73.909275 40.885527)
Saratoga,751124,Store,JAC,PASTORES GREEN GROCER NATURAL FOO,PASTORES GREEN GROCER,1505,ROUTE 9,,,CLIFTON PARK,NY,12065,3000,POINT (-73.743057 42.838832)
Columbia,751122,Store,JAC,BEAN AND BARNS LLC,CHATHAM PROVISIONS,2253,RTE 66,,,GHENT,NY,12075,0,
Onondaga,751121,Store,JAC,JOES PIZZA CNY LLC,JOES GRAB N GO,415,W ONONDAGA STREET,,,SYRACUSE,NY,13202,0,POINT (-76.157268 43.040661)
Kings,751120,Store,JAC,ROCOCO DESIGN INC,ROCOCO DESIGN,324,LEWIS AVE,,,BROOKLYN,NY,11221,0,POINT (-73.935436 40.684913)
Kings,751118,Store,JAC,ALL HALAL MEAT INC,ALL HALAL MEAT,4112,18TH AVE,,,BROOKLYN,NY,11218,500,POINT (-73.974858 40.631832)
Queens,751117,Store,JAC,NILKANTH DELI & GROCERY INC,NILKANTH DELI & GROCERY,75-51,67TH DRIVE,,,MIDDLE VILLAGE,NY,11379,0,POINT (-73.875516 40.711666)
Queens,751116,Store,JAC,ARTION BAKERY LLC,ARTION BAKERY,23-18,31ST STREET,,,ASTORIA,NY,11105,3000,POINT (-73.913487 40.773874)
Oneida,751114,Store,A,HICKORY FARMS LLC,HICKORY FARMS,8653,CLINTON ST,,,NEW HARTFORD,NY,13413,0,POINT (-75.314909 43.089994)
Dutchess,751113,Store,A,HICKORY FARMS LLC,HICKORY FARMS,1895,SOUTH RD,,,POUGHKEEPSIE,NY,12601,0,POINT (-73.916758 41.618503)
Jefferson,751112,Store,A,HICKORY FARMS LLC,HICKORY FARMS,26185,US 11,,,EVANS MILLS,NY,13637,0,POINT (-75.836979 44.046644)
Queens,751110,Store,A,EASY BUY STORE INC,EASY BUY STORE,90-22,JAMAICA AVE,,,WOODHAVEN,NY,11421,0,POINT (-73.854488 40.692854)
Allegany,751108,Store,JAC,BEND CUBA INC,CUBA GIANT FOOD MART,72,GENESSE ST,,,CUBA,NY,14727,18000,POINT (-78.277712 42.220971)
Erie,751107,Store,JAC,INCANTATION TEA LLC,INCANTATION TEA,380,HINDS STREET STE 400,,,TONAWANDA,NY,14150,700,POINT (-78.88922 43.003248)
Kings,751106,Store,JAC,ROCHESTER GOURMET CORP,ROCHESTER GOURMET,22,ROCHESTER AVE,,,BROOKLYN,NY,11233,0,POINT (-73.927445 40.678282)
Madison,751105,Store,JAC,CELIAS FOOD PRODUCTS LLC,CELIAS FOOD PRODUCTS,3261,US 20,,,CAZENOVIA,NY,13035,1500,POINT (-75.777104 42.917215)
Kings,751104,Store,JAC,YDHNY INC,YDHNY,159,N 3RD STREET,,,BROOKLYN,NY,11211,200,POINT (-73.95959 40.715242)
Kings,751103,Store,JAC,ARIEL DELI GROCERY CORP,ARIEL DELI GROCERY,421,BAINBRIDGE ST,,,BROOKLYN,NY,11233,0,POINT (-73.920031 40.68223)
Erie,751102,Store,JAC,MOES DELI EXPRESS INC,MOE'S DELI EXPRESS,441,WALDEN AVE,,,BUFFALO,NY,14211,1000,POINT (-78.820216 42.904002)
Westchester,751101,Store,JAC,PRIMITIVA LLC,DECICCO & SONS,422,OLD POST ROAD,,,BEDFORD,NY,10506,0,POINT (-73.655575 41.194995)
Queens,751100,Store,JAC,PRIZE PARAGON 2 INC,7-ELEVEN STORE #32406B,162-01,46TH AVENUE,,,FLUSHING,NY,11358,0,POINT (-73.804879 40.753771)
Queens,751099,Store,JAC,MAIN STREET CONVENIENCE INC,7-ELEVEN STORE #20944F,6958,MAIN STREET,,,FLUSHING,NY,11367,0,POINT (-73.823417 40.729762)
Queens,751098,Store,JAC,101-04 METRO INC,7-ELEVEN STORE #33975B,101-04,METROPOLITAN AVENUE,,,FOREST HILLS,NY,11375,0,POINT (-73.851641 40.710584)
Erie,751097,Store,JAC,ROSINA FOOD PRODUCTS INC,ROSINA FOOD PRODUCTS,3100,CLINTON STREET,,,BUFFALO,NY,14224,0,POINT (-78.765796 42.860894)
Erie,751096,Store,JAC,ROSINA FOOD PRODUCTS INC,ROSINA FOOD PRODUCTS,75,INDUSTRIAL PKWY,,,BUFFALO,NY,14227,0,POINT (-78.747635 42.869627)
Bronx,751094,Store,JAC,CROTONA DELI GROCERY CORP,CROTONA DELI GROCERY,715,E 187TH ST.,,,BRONX,NY,10458,0,POINT (-73.88382 40.853965)
Bronx,751093,Store,JAC,EMPIDE DELI GROCERY INC,EMPIDE DELI GROCERY,511,EAST 138TH STREET,,,BRONX,NY,10454,0,POINT (-73.919067 40.807491)
Bronx,751092,Store,JAC,TEAM RD DELI GROCERY CORP,TEAM RD DELI GROCERY,306,EAST 178TH STREET,,,BRONX,NY,10457,0,POINT (-73.902251 40.849952)
Kings,751091,Store,JAC,CANETE DELI GROCERY INC,CANETE DELI GROCERY,3,SOMERS ST,,,BROOKLYN,NY,11233,0,POINT (-73.912989 40.678503)
Bronx,751090,Store,JAC,LONGWOOD FISH MARKET #1 INC,LONGWOOD FISH MARKET #1,410,E 148TH STREET,,,BRONX,NY,10455,0,POINT (-73.917606 40.815111)
Kings,751089,Store,JAC,ABC FOOD MARKET CORP,ABC FOOD MARKET,3202,CHURCH AVE,,,BROOKLYN,NY,11226,0,POINT (-73.947513 40.650908)
Westchester,751088,Store,JAC,NEW ESTRELLA MINIMARKET CORP,NEW ESTRELLA MINIMARKET,140,W 3RD STREET,,,MOUNT VERNON,NY,10550,0,POINT (-73.841439 40.905452)
Kings,751087,Store,JAC,MY DELI & GRILL 2 INC,MY DELI & GRILL 2,1887,MONTROSE AVE,,,BROOKLYN,NY,11206,0,
Kings,751086,Store,JAC,1918 BROOKLYN GRILL CORP,1918 BROOKLYN GRILL,1918,KINGS HWY,,,BROOKLYN,NY,11229,0,POINT (-73.954173 40.610454)
Kings,751085,Store,JAC,CARNICERIA PRIME RIBS INC,CARNICERIA PRIME RIBS,7214,3RD AVENUE,,,BROOKLYN,NY,11209,0,POINT (-74.027108 40.633132)
Bronx,751084,Store,JAC,LOYALTY DELI CORP,LOYALTY DELI,1512,BOONE AVE,,,BRONX,NY,10460,0,POINT (-73.885664 40.832088)
Bronx,751083,Store,JAC,784 DELI GROCERY INC,784 DELI GROCERY,784,E 163RD STREET,,,BRONX,NY,10456,0,POINT (-73.902838 40.822645)
Kings,751081,Store,A,SS CONVENIENCE AND PHONE REPAIR I,SS CONVENIENCE & PHONE,568,PINE ST,,,BROOKLYN,NY,11208,0,POINT (-73.870028 40.671609)
Allegany,751080,Store,JAC,BEND WELLSVILLE INC,WELLSVILLE GIANT,44,PARK AVE,,,WELLSVILLE,NY,14895,23000,POINT (-77.947296 42.120206)
Chautauqua,751079,Store,JAC,BRINDLE BARN CO LLC THE,THE BRINDLEBARN CO,11,BOULEVARD AVE,,,CELORON,NY,14720,1800,POINT (-79.282348 42.109995)
Richmond,751078,Store,A,RAJA ENTERPRISES INC,REHMAT-E-MEDINA GROCERY,1814,HYLAN BLVD,,,STATEN ISLAND,NY,10305,1000,POINT (-74.093696 40.584943)
New York,751077,Store,JAC,JOSEPH CONVINIANCE CORP,JOSEPH CONVINIANCE,11,AVE D,,,NEW YORK,NY,10009,0,POINT (-73.978423 40.720413)
Rensselaer,751076,Store,JAC,JASPERS TAVERN LLC,ROCKY HILL CTRY STORE,17475,NY RTE 22,,,BERLIN,NY,12022,4000,POINT (-73.360354 42.643517)
Queens,751075,Store,JAC,120 FRESH MARKET INC,HAPPY FARM,120-01,LIBERTY AVE,,,SOUTH RICHMOND HIL,NY,11419,0,POINT (-73.822998 40.686694)
Queens,751074,Store,JAC,117 FRESH MARKET INC,FARM BOY MARKET,117-20,LIBERTY AVE,,,SOUTH RICHMOND HIL,NY,11419,0,POINT (-73.825118 40.686018)
Kings,751073,Store,JAC,HERMANOS DELI AND GROCERY CORP,HERMANOS DELI AND GROCE,3142,FULTON ST,,,BROOKLYN,NY,11208,0,POINT (-73.878919 40.681732)
Kings,751072,Store,JAC,FANTASY DELI GROCERY CORP,FANTASY DELI GROCERY,49,KINGSLAND AVE,,,BROOKLYN,NY,11211,0,POINT (-73.940323 40.71779)
New York,751071,Store,JAC,SOLAR MERIDIAN CORP,WESTSIDE MARKET PLACE,790,11TH AVENUE STORE #4,,,NEW YORK,NY,10019,0,POINT (-73.992487 40.768848)
Kings,751070,Store,JAC,GARDEN GOURMET DELI CORP,GARDEN GOURMET DELI,570,ALBANY AVE,,,BROOKLYN,NY,11203,0,POINT (-73.939801 40.66067)
Kings,751069,Store,JAC,M A M ENTERPRISE 1 INC,M A M ENTERPRISE 1,317,BUSHWICH AVE,,,BROOKLYN,NY,11206,0,POINT (-73.939474 40.705428)
Bronx,751068,Store,JAC,RH DELI GROCERY CORP,RH DELI GROCERY,1971,GRAND AVENUE,,,BRONX,NY,10453,0,POINT (-73.910755 40.852249)
Madison,751067,Store,JAC,FIDELIS FOODS LLC,FIDELIS FOODS,1223,SALT SPRINGS RD,,,CHITTENANGO,NY,13037,0,POINT (-75.913059 43.038614)
Ontario,751066,Store,JAC,95 NUTRITION LLC,95 NUTRITION,400,COMMERCE DR #700,,,VICTOR,NY,14564,0,POINT (-77.436197 43.018056)
Erie,751065,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22725,4030,SOUTHWESTERN BLVD,,,ORCHARD PARK,NY,14127,0,POINT (-78.799901 42.774422)
Bronx,751064,Store,JAC,MTB HALAL INC,MTB HALAL,1104,WEBSTER AVE,,,BRONX,NY,10456,0,POINT (-73.910988 40.829781)
Nassau,751063,Store,JAC,SEABREEZE GROCERY CORPORATION,SEABREEZE GROCERY,831,W BEECH ST,,,LONG BEACH,NY,11561,0,POINT (-73.688431 40.586026)
Oneida,751062,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #6714,1600,MAIN ST,,,SYLVAN BEACH,NY,13157,0,POINT (-75.728115 43.203958)
Suffolk,751061,Store,JAC,MARYS DISTRIBUTION CORP,MARYS CAFE,137,SUNRISE HWY,,,AMITYVILLE,NY,11701,0,POINT (-73.410441 40.688726)
Queens,751060,Store,JAC,YUM YUM DELI & GROCERY INC,YUM YUM DELI & GROCERY,159-03,HILLSIDE AVE,,,JAMAICA,NY,11432,0,POINT (-73.802584 40.707829)
Nassau,751059,Store,JAC,OTTONIEL MARTINEZ,TROPICAL GARDEN GROCERY,22,BROOKLYN AVE,,,FREEPORT,NY,11520,0,POINT (-73.584756 40.657355)
Queens,751058,Store,JAC,FRESH BEACH FOOD CORP,FRESH BEACH FOOD,8704,ROCKAWAY BEACH BLVD,,,FAR ROCKAWAY,NY,11693,0,POINT (-73.812309 40.587441)
Kings,751057,Store,JAC,GOURMET DELI GROCERY 3 CORP,GOURMET DELI GROCERY 3,1098,CLARKSON AVE,,,BROOKLYN,NY,11212,0,POINT (-73.921903 40.659952)
New York,751056,Store,JAC,ZOA 73 MARKETPLACE INC,DAONA MARKETPLACE,1359,FIRST AVENUE,,,NEW YORK,NY,10021,0,POINT (-73.955612 40.76834)
Suffolk,751055,Store,JAC,HAMPTON CHUTNEY COMPANY INC,HAMTON CHUTNEY COMPANY,107,NEWTOWN LANE,,,EAST HAMPTON,NY,11937,0,POINT (-72.191763 40.965255)
Suffolk,751054,Store,JAC,SHREE SANENATH INC,7-ELEVEN STORE #38022A,4525,SUNRISE HWY,,,BOHEMIA,NY,11716,3000,POINT (-73.118946 40.753797)
Queens,751052,Store,A,D & Z 99C STORE & UP INC,D & Z 99C STORE & UP,167-02,HILLSIDE AVE,,,JAMAICA,NY,11432,7000,POINT (-73.795308 40.709799)
Bronx,751051,Store,JAC,N&R DELI GROCERY CORP,N&R DELI GROCERY,2258,MORRIS AVENUE,,,BRONX,NY,10453,0,POINT (-73.902347 40.857396)
Bronx,751050,Store,JAC,AB FOOD MARKET CORP,BX FUTURE DELI,917,OGDEN AVENUE,,,BRONX,NY,10452,0,POINT (-73.930399 40.831145)
