County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
Oneida,738442,Store,JAC,SONBYRNE SALES INC,BYRNE DAIRY #128 (ERIE,216,ERIE BLVD E,,,ROME,NY,13440,0,POINT (-75.456385 43.206288)
Chemung,738441,Store,JAC,SONBYRNE SALES INC,BYRNE DAIRY #126 (RTE 1,2529,CORNING RD,,,ELMIRA,NY,14903,0,POINT (-76.834762 42.15195)
Onondaga,738440,Store,JAC,SONBYRNE SALES INC,BYRNE DAIRY #125 (CLAY),4739,BUCKLEY RD,,,LIVERPOOL,NY,13088,3500,POINT (-76.186731 43.141804)
New York,738439,Store,JAC,SMS CS LLC,7 ELEVEN STORE #35702C,813,BROADWAY,,,NEW YORK,NY,10003,1800,POINT (-73.991184 40.732946)
New York,738438,Store,JAC,NEW YORK STAR DELI INC,NEW YORK STAR DELI,20,E 132ND STREET,,,NEW YORK,NY,10037,0,POINT (-73.937674 40.810291)
Queens,738436,Store,JAC,ATLANTIC AVE DELI GROCERY CORP,ATLANTIC AVE DELI GROCE,9183,111TH STREET,,,RICHMOND HILL,NY,11418,1200,POINT (-73.834928 40.69232)
Onondaga,738435,Store,JAC,SONBYRNE SALES INC,BYRNE DAIRY #124 (TIPPE,1800,W FAYETTE ST,,,SYRACUSE,NY,13204,4232,POINT (-76.18366 43.052311)
Bronx,738431,Store,JAC,COLGATE DELI & GROCERY CORP,COLGATE DELI & GROCERY,1452,WESTCHESTER AVE,,,BRONX,NY,10472,800,POINT (-73.88225 40.828317)
Kings,738430,Store,JAC,MERCY FAMOUS DELI CORP,MERCY FAMOUS DELI,960,MYRTLE AVE,,,BROOKLYN,NY,11206,1000,POINT (-73.943094 40.696081)
Kings,738429,Store,JAC,1249 GOURMET DELI INC,1249 GOURMET DELI,1249,SUTTER AVENUE,,,BROOKLYN,NY,11208,1000,POINT (-73.871618 40.672828)
Saratoga,738424,Store,JAC,CUMBERLAND FARMS INC,CUMBERLAND FARMS #1709,527,ROUTE 67,,,BALLSTON SPA,NY,12020,5275,POINT (-73.858599 43.000059)
Bronx,738423,Store,JAC,MOSES DELI GROCERY INC,MOSES DELI GROCERY,3438,BOSTON ROAD,,,BRONX,NY,10469,0,POINT (-73.849189 40.876129)
Erie,738422,Store,JAC,ALSHAIBI MARKET INC,NYC MARKET,2502,BAILEY AVE,,,BUFFALO,NY,14215,2500,POINT (-78.813682 42.922827)
Bronx,738421,Store,JAC,WILL GROCERY & MEAT INC,PIONEER SUPERMARKET,250,WILLIS AVE,,,BRONX,NY,10454,10000,POINT (-73.922667 40.809422)
Kings,738416,Store,A,LONG XING TRADING CORP,LONG XING TRADING,6501A,BAY PARKWAY,,,BROOKLYN,NY,11204,0,POINT (-73.981609 40.613679)
Bronx,738412,Store,JAC,TKM VITAMIN LLC,A-Z NUTRITION & SMOOTHI,1776,EASTCHESTER ROAD,,,BRONX,NY,10461,1100,POINT (-73.844937 40.849773)
Warren,738410,Store,JAC,LOBBY CORP,LAKE GEORGE MINI MART,2217,ROUTE 9,,,LAKE GEORGE,NY,12845,3000,POINT (-73.712249 43.414537)
Queens,738408,Store,JAC,SD SAUCE LLC,NAMJIM BY SUTTA,36-46,37TH STREET,,,LONG ISLAND CITY,NY,11101,0,POINT (-73.925941 40.753129)
Kings,738406,Store,JACE,PROOF OF CONCEPT LLC,BARROW'S INTENSE TASTIN,86,34TH STREET C134,,,BROOKLYN,NY,11232,3000,POINT (-74.005734 40.656934)
Kings,738403,Store,A,PHIL UP PETROLEUM INC,CITGO,2955,CROPSEY AVENUE,,,BROOKLYN,NY,11214,1000,POINT (-73.986171 40.582776)
Kings,738400,Store,JAC,RIWEI MINI MARKET INC,RIWEI MINI MARKET,6418,7TH AVENUE,,,BROOKLYN,NY,11220,2000,POINT (-74.014509 40.634205)
Kings,738399,Store,JACDK,COOKUNITY INC,COOKUNITY,630,FLUSHING AVE MAILBOX #24,,,BROOKLYN,NY,11206,1600,POINT (-73.948214 40.699997)
Schenectady,738397,Store,JAC,MMM FARMS LLC,FOR THE LOVE OF BACON,834,DUANESBURG ROAD,,,SCHENECTADY,NY,12306,800,POINT (-74.020027 42.783521)
