,VIF
const,11.617914203135623
pop,3.0315902328916433
dist_from_st,1.0849517584684654
fire_station_num,1.0600630119685588
crime_num,1.4051629827770988
tabacco_num,3.6218222558316557
restaurant_num,5.9605268571576415
historic_num,1.3997951518374097
